lat,lon,tipo,nome
-15.7755847,-47.8884156,language_school,CCAA
-15.7770943,-47.8783130,cafe,Candy House
-15.7808270,-47.8899709,college,ITAC - Instituto Técnico de Aviação Civil
-15.7936989,-47.8837680,bicycle_parking,Metrô - Estação Central
-15.7951284,-47.8951954,bicycle_rental,Parque da Cidade SRTVS - Estação 18
-15.7870149,-47.8879309,bicycle_rental,Brasília Shopping - Estação 34
-15.7973914,-47.8914767,bicycle_rental,Shopping Pátio Brasil - Estação 20
-15.7788797,-47.8875124,fuel,Shell
-15.7985695,-47.8867652,fast_food,Subway
-15.7749509,-47.8908733,cafe,Café Cobogó
-15.7982984,-47.8870928,pharmacy,Farmácia do Trabalhador
-15.7983954,-47.8871106,pharmacy,Drogaria Rosário
-15.7993153,-47.8874035,bank,Bradesco
-15.7767484,-47.8877356,bank,Banco do Brasil
-15.7773395,-47.8876766,bank,Santander
-15.7772621,-47.8876820,bank,Bradesco
-15.7771640,-47.8876954,bank,Banco de Brasília
-15.7770220,-47.8877115,bank,Itaú
-15.7772176,-47.8790491,school,Wizard
-15.8050994,-47.8847788,restaurant,Dona Lenha
-15.7834693,-47.8774214,restaurant,Terra Viva
-15.7838359,-47.8785827,restaurant,Koni
-15.7813571,-47.8873734,bank,Santander
-15.7803384,-47.8845945,restaurant,Paladar
-15.7808421,-47.8850214,restaurant,Greens
-15.7806286,-47.8860998,cafe,Caramella
-15.7805371,-47.8847823,cafe,Martinica Café
-15.7798379,-47.8755113,pharmacy,Drogaria Renata
-15.7801718,-47.8749840,restaurant,Forninho Mineiro
-15.7770016,-47.8827129,cafe,Daniel Briand
-15.8059240,-47.8936639,bicycle_rental,CLS 103 W1 Sul
-15.8098070,-47.8898882,restaurant,Veredas Grill
-15.8101972,-47.8890617,bank,Banco do Brasil
-15.8032643,-47.8851040,bank,Banco do Brasil
-15.8090973,-47.8851814,restaurant,China Dìfang
-15.8089156,-47.8854132,restaurant,Palace Long Fu
-15.7810002,-47.8881106,dojo,Krav Maga
-15.7746067,-47.8855438,fast_food,Subway
-15.7742532,-47.8856120,school,Wise Explorer
-15.7833159,-47.8785943,cafe,Café Cristina Colina da Pedra
-15.7809318,-47.8858493,pub,Chão de estrelas
-15.7806248,-47.8857908,fast_food,O Carioca
-15.7805472,-47.8860928,restaurant,A melhor do mundo pizzaria
-15.7806479,-47.8862752,pharmacy,Drogasil
-15.7808672,-47.8851481,pharmacy,Volta à Natureza
-15.7809254,-47.8857156,restaurant,Picanhas do Sul
-15.7809705,-47.8862323,cafe,Café com Café
-15.7804781,-47.8861235,fast_food,Açaí Floresta
-15.7810485,-47.8862365,fast_food,Giraffas
-15.8105483,-47.8890189,bicycle_rental,CLS 204
-15.7958067,-47.8916994,atm,Banco do Brasil
-15.8072612,-47.8995678,bank,Caixa Econômica Federal
-15.8026102,-47.8952522,bank,Banco Santander
-15.8047541,-47.8971716,bank,Bradesco
-15.7863043,-47.8873611,bank,Citibank
-15.7819647,-47.8873288,bank,Bradesco
-15.7864699,-47.8869585,bank,Bradesco
